id,word
1071,moon
1072,search
1073,immediately
1074,total
1075,false
1076,advertising
1077,plan
1078,replace
1079,blood
1080,weep
1081,poor
1082,unfortunate
1083,soul
1084,trick
1085,available
1086,resort
1087,chewiness
1088,wayyyyy
1089,spread
1090,ruined
1091,opinion
1092,execution
1093,caramels
1094,scoops
1095,layer
1096,tonight
1097,12319
1098,upon
1099,opening
1100,whatsoever
1101,especially
1102,thicker
1103,cheated
1104,catch
1105,balancing
1106,extraordinary
1107,once
1108,personally
1109,chuncks
1110,upset
1111,stops
1112,absolute
1113,soo
1114,somebody
1115,grew
1116,blends
1117,kept
1118,getting
1119,disappearing
1120,finished
1121,wise
1122,tell
1123,years
1124,wavy
1125,gravy
1126,karmal
1127,gagged
1128,karmel
1129,sssooo
1130,yuch
1131,unlike
1132,manny
1133,stared
1134,wheres
1135,enjoyable
1136,becoming
1137,crave
1138,may
1139,main
1140,higher
1141,remove
1142,create
1143,melange
1144,lacked
1145,excitement
1146,youre
1147,trust
1148,soooooooooooo
1149,goooooooodddddddd
1150,saltysweet
1151,devouring
1152,type
1153,extreme
1154,due
1155,health
1156,issues
1157,lifesaver
1158,outrageously
1159,offer
1160,baskin
1161,robbins
1162,pralines
1163,careful
1164,weight
1165,simple
1166,rated
1167,heaven
1168,earth
1169,ahhhhhh
1170,soooo
1171,gooood
1172,rate
1173,1210
1174,sooooo
1175,gonna
1176,luscious
1177,slug
1178,drilled
1179,awesomeness
1180,forever
1181,along
1182,twice
1183,purchases
1184,bitsi
1185,accidentally
1186,birthday
1187,likely
1188,example
1189,silky
1190,saltsweet
1191,downright
1192,addictive
1193,force
1194,achieved
1195,coupons
1196,thank
1197,reaches
1198,complement
1199,masterpiece
1200,melody
1201,match
1202,honey
1203,bun
1204,blows
1205,water
1206,burst
1207,bummed
1208,appreciate
1209,aspect
1210,shines
1211,dozens
1212,divine
1213,fight
1214,hes
1215,fair
1216,share
1217,sell
1218,souls
1219,intense
1220,feature
1221,crazy
1222,consitant
1223,favorites
1224,alllll
1225,row
1226,minute
1227,maximum
1228,selling
1229,rip
1230,alone
1231,mom
1232,joke
1233,apparently
1234,quality
1235,done
1236,10
1237,yesterday
1238,convincing
1239,quart
1240,inventory
1241,besides
1242,mmmmmm
1243,word
1244,describe
1245,otherwise
1246,school
1247,everyday
1248,surprise
1249,mmm
1250,vacation
1251,myrtle
1252,beach
1253,omlll
1254,crusty
1255,tho
1256,exceptional
1257,imo
1258,generous
1259,hits
1260,tops
1261,910
1262,spot
1263,mixture
1264,gobs
1265,omg
1266,fave
1267,brand
1268,mostly
1269,burnt
1270,houston
1271,anywhere
1272,personal
1273,dreams
1274,fans
1275,says
1276,liar
1277,amost
1278,current
1279,job
1280,peanut
1281,butterchocolate
1282,park
1283,pretzel
1284,swirls
1285,heightened
1286,degree
1287,pretzels
1288,em
1289,effective
1290,actual
1291,cooked
1292,evert
1293,savor
1294,shared
1295,eight
1296,homemade
1297,vegan
1298,non
1299,fanim
1300,urban
1301,bourbon
1302,addictthe
1303,boy
1304,chubby
1305,hubby
1306,tied
1307,place
1308,netflix
1309,chilld
1310,becomes
1311,regular
1312,pb
1313,tis
1314,flave
1315,buteverytime
1316,red
1317,couch
1318,tomatoes
1319,wanna
1320,anytime
1321,yuck
1322,canada
1323,sounds
1324,tub
1325,o
1326,b
1327,js
1328,tomato
1329,marzipan
1330,marshmallow
1331,beg
1332,folks
1333,reconsider
1334,prominent
1335,perspective
1336,wrapped
1337,toppings
1338,flavorless
1339,combinations
1340,missed
1341,mark
1342,baked
1343,blah
1344,hardly
1345,similar
1346,underwheming
1347,achieve
1348,sheer
1349,paltry
1350,unique
1351,game
1352,changer
1353,consistently
1354,wherever
1355,reminds
1356,candy
1357,bar
1358,pie
1359,loving
1360,2013
1361,penny
1362,16
1363,permanent
1364,dog
1365,prefer
1366,larger
1367,sitting
1368,next
1369,specialty
1370,parlor
1371,epitome
1372,sprinkles
1373,dark
1374,monotony
1375,responsible
1376,90
1377,quarentine
1378,gain
1379,p
1380,addict
1381,contrasted
1382,engaged
1383,healthy
1384,creation
1385,guys
1386,rock
1387,bomb
1388,dot
1389,com
1390,glad
1391,15
1392,incredible
1393,thoroughly
1394,impressed
1395,hopefully
1396,goofed
1397,exceptionally
1398,bold
1399,oddly
1400,mild
1401,regard
1402,n
1403,chalky
1404,mushy
1405,mass
1406,appetizing
1407,bananas
1408,uncooked
1409,real
1410,mini
1411,associated
1412,sorry
1413,officially
1414,savory
1415,sooooooo
1416,makings
1417,components
1418,gag
1419,010
1420,concerned
1421,pleasant
1422,disturbed
1423,gritty
1424,batter
1425,consistency
1426,taffy
1427,harder
1428,strangely
1429,stick
1430,phish
1431,food
1432,gimme
1433,smore
1434,horse
1435,licking
1436,parts
1437,playdough
1438,added
1439,paper
1440,explosion
1441,approve
1442,happens
1443,floored
1444,experienced
1445,quickly
1446,rye
1447,bread
1448,anticlimactic
1449,piecesshould
1450,needed
1451,offset
1452,cloyingly
1453,kills
1454,semblance
1455,unnecessary
1456,given
1457,evoke
1458,sense
1459,weird
1460,beautifully
1461,respect
1462,brainer
1463,chips
1464,slight
1465,re
1466,tooling
1467,promised
1468,lab
1469,agian
1470,tracked
1471,melted
1472,building
1473,shrine
1474,fun
1475,means
1476,wishing
1477,andor
1478,additional
1479,unexpected
1480,calories
1481,milk
1482,lighter
1483,balls
1484,surprisingly
1485,cripsy
1486,chip
1487,pineapple
1488,pizza
1489,layered
1490,intensity
1491,clumped
1492,youll
1493,juxtaposition
1494,grainy
1495,delightful
1496,tastebuds
1497,interesting
1498,textures
1499,legitimately
1500,brown
1501,blobs
1502,brands
1503,streak
1504,breakfast
1505,amazingexcept
1506,remind
1507,cosmic
1508,cookies
1509,somehow
1510,meet
1511,beat
1512,alaska
1513,pls
1514,limited
1515,edition
1516,rename
1517,satisfying
1518,palette
1519,stuck
1520,lid
1521,crushed
1522,irrationally
1523,angry
1524,anyway
1525,creme
1526,brulee
1527,keto
1528,carb
1529,load
1530,reminded
1531,sandor
1532,almond
1533,flour
1534,alzo
1535,portion
1536,sticky
1537,sticking
1538,teeth
1539,awkward
1540,def
1541,fav
1542,dissappointed
1543,onto
1544,money
1545,moment
1546,keeps
1547,fudgy
1548,miracle
1549,clump
1550,likes
1551,biting
1552,sand
1553,continue
1554,obessed
1555,wooooorthy
1556,delivers
1557,brownien
1558,theyre
1559,original
1560,justice
1561,remixed
1562,nutty
1563,thia
1564,rethink
1565,lust
1566,subtle
1567,creates
1568,favourites
1569,bro
1570,fence
1571,complain
1572,suggestion
1573,unless
1574,dud
1575,roommates
1576,heard
1577,chilled
1578,household
1579,humble
1580,pot
1581,tooth
1582,soread
1583,title
1584,movies
1585,documentaries
1586,comedies
1587,uber
1588,tacky
1589,sentimental
1590,dumb
1591,dumber
1592,gotta
1593,amazzzin
1594,sob
1595,theyve
1596,curiosity
1597,deliciously
1598,proportional
1599,golden
1600,cuts
1601,delivered
1602,master
1603,rubbery
1604,pbj
1605,sandwich
1606,waiting
1607,rotation
1608,sunday
1609,cheat
1610,arrived
1611,four
1612,pretzelssaltiness
1613,preztel
1614,mentioned
1615,hunks
1616,fudgey
1617,request
1618,lifetime
1619,supply
1620,blown
1621,adds
1622,boost
1623,dang
1624,gooooood
1625,misters
1626,heavenly
1627,written
1628,particular
1629,alteringplease
1630,send
1631,central
1632,maine
1633,area
1634,number
1635,choose
1636,party
1637,tongue
1638,lots
1639,memo
1640,round
1641,bowl
1642,u
1643,everywhere
1644,eyes
1645,peeling
1646,sections
1647,miss
1648,both
1649,sweets
1650,girl
1651,tiktok
1652,names
1653,baddiebx
1654,recommended
1655,greatful
